round_epochs,loss,root_mean_squared_error,batch_size,dropout,epochs,losses,metric,optimizer,units_first_layer,units_second_layer
1,0.0024451990611851215,0.04944895580410957,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0029382100328803062,0.05420525744557381,10,0.0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.005188527051359415,0.0720314309000969,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.004332478623837233,0.0658215656876564,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.0035759522579610348,0.05979926511645317,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.0030594831332564354,0.05531259626150131,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.005357841961085796,0.07319728285074234,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.004863313864916563,0.06973746418952942,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.00441011693328619,0.06640870869159698,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.0030693502631038427,0.05540171638131142,10,0.04,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.006375857163220644,0.07984896749258041,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.0036801837850362062,0.06066451966762543,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.005455140024423599,0.07385891675949097,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004054591059684753,0.06367567181587219,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.005578423850238323,0.07468884438276291,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
1,0.004754476249217987,0.06895271688699722,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,25
1,0.0052964454516768456,0.0727766826748848,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,10
1,0.003574938513338566,0.05979079008102417,10,0.08,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,100,25
1,0.0066342721693217754,0.08145104348659515,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,10
1,0.005802486091852188,0.0761740505695343,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,50,25
1,0.007087855599820614,0.08418940007686615,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,10
1,0.004173358902335167,0.06460154056549072,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Nadam,100,25
1,0.009358752518892288,0.09674064815044403,10,0.12,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151768390>,Adam,50,10
