round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,optimizer,units_first_layer,units_second_layer
4,0.0011134311789646745,0.0011134311789646745,0.08025940507650375,0.08025940507650375,1,0.3,4,Nadam,100,25
3,0.00223594531416893,0.00223594531416893,0.08482850342988968,0.08482850342988968,1,0.3,4,Adam,50,10
4,0.0015326953725889325,0.0015326953725889325,0.08445029705762863,0.08445029705762863,1,0.3,4,Adam,50,25
4,0.002007216913625598,0.002007216913625598,0.07393200695514679,0.07393200695514679,1,0.3,4,Adam,100,10
4,0.0015397586394101381,0.0015397586394101381,0.0777614638209343,0.0777614638209343,1,0.3,4,Adam,100,25
1,0.0011207330971956253,0.0011207332136109471,0.035731054842472076,0.035731054842472076,10,0,1,Nadam,50,10
1,0.00106695550493896,0.00106695550493896,0.03446747362613678,0.03446747362613678,10,0,1,Nadam,50,25
1,0.001453571137972176,0.001453571137972176,0.0352015346288681,0.0352015346288681,10,0,1,Nadam,100,10
1,0.0013389054220169783,0.0013389053056016564,0.040869951248168945,0.040869951248168945,10,0,1,Nadam,100,25
1,0.0015484116738662124,0.0015484115574508905,0.05808744579553604,0.05808744579553604,10,0,1,Adam,50,10
1,0.001880658557638526,0.001880658557638526,0.08803709596395493,0.08803709596395493,10,0,1,Adam,50,25
1,0.0015958362491801381,0.0015958362491801381,0.07690448313951492,0.07690448313951492,10,0,1,Adam,100,10
1,0.0017233936814591289,0.0017233936814591289,0.08896750211715698,0.08896750211715698,10,0,1,Adam,100,25
4,0.0007851813570596278,0.0007851813570596278,0.03884873539209366,0.03884873539209366,10,0,4,Nadam,50,10
4,0.0008418363868258893,0.0008418363868258893,0.04492342099547386,0.04492342099547386,10,0,4,Nadam,50,25
4,0.0008497526287101209,0.0008497526287101209,0.043717801570892334,0.043717801570892334,10,0,4,Nadam,100,10
4,0.0009343098499812186,0.0009343098499812186,0.05128999426960945,0.05128999426960945,10,0,4,Nadam,100,25
2,0.002065590349957347,0.002065590349957347,0.07455990463495255,0.07455990463495255,10,0,4,Adam,50,10
2,0.0019880798645317554,0.0019880798645317554,0.07626088708639145,0.07626088708639145,10,0,4,Adam,50,25
2,0.0028967983089387417,0.0028967983089387417,0.09183900058269501,0.09183900058269501,10,0,4,Adam,100,10
2,0.0032302062027156353,0.0032302062027156353,0.1006583422422409,0.1006583422422409,10,0,4,Adam,100,25
1,0.0059270854108035564,0.0059270854108035564,0.04877639189362526,0.04877639189362526,10,0.3,1,Nadam,50,10
1,0.00377282896079123,0.00377282896079123,0.04265233129262924,0.04265233129262924,10,0.3,1,Nadam,50,25
1,0.006689094938337803,0.006689094938337803,0.05910405516624451,0.05910405516624451,10,0.3,1,Nadam,100,10
1,0.004457009956240654,0.004457009956240654,0.05118677765130997,0.05118677765130997,10,0.3,1,Nadam,100,25
1,0.0075584095902740955,0.00755841052159667,0.06268399953842163,0.06268399953842163,10,0.3,1,Adam,50,10
1,0.0047842031344771385,0.0047842031344771385,0.07523470371961594,0.07523470371961594,10,0.3,1,Adam,50,25
1,0.007078646682202816,0.007078646682202816,0.10157226771116257,0.10157226771116257,10,0.3,1,Adam,100,10
1,0.004613010212779045,0.004613010212779045,0.08808250725269318,0.08808250725269318,10,0.3,1,Adam,100,25
4,0.003617022419348359,0.003617022419348359,0.058761365711688995,0.058761365711688995,10,0.3,4,Nadam,50,10
