symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CAT,2010-06-16 00:00:00+00:00,64.39,64.5168,62.73,62.91,10561900,48.165629187,48.2604793467,46.9238999674,47.0585453045,10561900,0.0,1.0
CAT,2010-06-17 00:00:00+00:00,64.95,64.99,63.67,64.63,10574600,48.5845257912,48.6144469772,47.6270478388,48.3451563031,10574600,0.0,1.0
CAT,2010-06-18 00:00:00+00:00,65.85,65.9,64.57,65.13,11005600,49.2577524766,49.2951539591,48.3002745241,48.7191711283,11005600,0.0,1.0
CAT,2010-06-21 00:00:00+00:00,66.07,68.35,65.55,67.56,11652400,49.4223189996,51.1278266025,49.0333435814,50.5368831787,11652400,0.0,1.0
CAT,2010-06-22 00:00:00+00:00,64.11,66.48,63.88,66.3,8659600,47.9561808849,49.7290111563,47.7841340653,49.5943658192,8659600,0.0,1.0
CAT,2010-06-23 00:00:00+00:00,64.33,64.87,62.64,64.06,9037100,48.120747408,48.5246834192,46.8565772989,47.9187794024,9037100,0.0,1.0
CAT,2010-06-24 00:00:00+00:00,63.37,64.45,63.05,63.81,8658200,47.4026389436,48.210510966,47.1632694555,47.7317719898,8658200,0.0,1.0
CAT,2010-06-25 00:00:00+00:00,64.71,64.71,62.92,63.54,12068800,48.4049986751,48.4049986751,47.066025601,47.5298039842,12068800,0.0,1.0
CAT,2010-06-28 00:00:00+00:00,64.4,65.3,64.01,64.45,6836700,48.1731094835,48.8463361688,47.8813779199,48.210510966,6836700,0.0,1.0
CAT,2010-06-29 00:00:00+00:00,60.85,62.86,60.25,62.74,13057100,45.5176042247,47.021143822,45.0687864345,46.9313802639,13057100,0.0,1.0
CAT,2010-06-30 00:00:00+00:00,60.07,61.94,59.91,61.02,9630300,44.9341410974,46.3329565436,44.8144563534,45.6447692653,9630300,0.0,1.0
CAT,2010-07-01 00:00:00+00:00,59.97,60.7,58.06,59.67,11598200,44.8593381324,45.4053997772,43.4306015002,44.6349292373,11598200,0.0,1.0
CAT,2010-07-02 00:00:00+00:00,59.18,60.66,58.62,60.3,7878200,44.2683947086,45.3754785912,43.8494981044,45.106187917,7878200,0.0,1.0
CAT,2010-07-06 00:00:00+00:00,59.81,61.65,59.21,60.6,9357300,44.7396533883,46.116027945,44.2908355981,45.3305968121,9357300,0.0,1.0
CAT,2010-07-07 00:00:00+00:00,62.18,62.27,59.67,59.85,7592900,46.5124836597,46.5798063282,44.6349292373,44.7695745744,7592900,0.0,1.0
CAT,2010-07-08 00:00:00+00:00,63.17,63.35,62.18,63.08,6058800,47.2530330136,47.3876783506,46.5124836597,47.185710345,6058800,0.0,1.0
CAT,2010-07-09 00:00:00+00:00,64.72,64.845,63.0,63.12,6456900,48.4124789716,48.5059826779,47.125867973,47.2156315311,6456900,0.0,1.0
CAT,2010-07-12 00:00:00+00:00,64.28,65.1,63.87,64.5,4915400,48.0833459255,48.6967302388,47.7766537688,48.2479124486,4915400,0.0,1.0
CAT,2010-07-13 00:00:00+00:00,66.79,67.365,65.31,65.88,10081500,49.9609003479,50.3910173969,48.8538164654,49.2801933661,10081500,0.0,1.0
CAT,2010-07-14 00:00:00+00:00,66.7,66.91,65.52,66.35,6851200,49.8935776794,50.0506639059,49.0109026919,49.6317673017,6851200,0.0,1.0
CAT,2010-07-15 00:00:00+00:00,66.51,66.59,65.36,66.38,8101700,49.7514520458,49.8112944178,48.8912179479,49.6542081912,8101700,0.0,1.0
CAT,2010-07-16 00:00:00+00:00,63.94,65.79,63.75,65.76,8504100,48.1581488905,49.5515266736,48.0150452263,49.5289313582,8504100,0.44,1.0
CAT,2010-07-19 00:00:00+00:00,64.8,65.23,63.56,64.36,6826400,48.8058812653,49.1297474527,47.8719415621,48.4744833061,6826400,0.0,1.0
CAT,2010-07-20 00:00:00+00:00,66.43,66.77,63.56,63.56,9468600,50.0335600688,50.28964031,47.8719415621,47.8719415621,9468600,0.0,1.0
CAT,2010-07-21 00:00:00+00:00,66.87,68.05,66.19,66.99,11432400,50.364958028,51.2537071004,49.8527975456,50.4553392896,11432400,0.0,1.0
CAT,2010-07-22 00:00:00+00:00,68.0,68.62,66.46,67.41,15905800,51.2160482414,51.683018093,50.0561553842,50.7716737052,15905800,0.0,1.0
CAT,2010-07-23 00:00:00+00:00,69.31,69.64,67.33,67.5,8865900,52.2027103472,52.4512588166,50.7114195308,50.8394596514,8865900,0.0,1.0
CAT,2010-07-26 00:00:00+00:00,69.99,70.08,69.0799,69.41,8878400,52.7148708296,52.7826567758,52.0294042781,52.2780280652,8878400,0.0,1.0
CAT,2010-07-27 00:00:00+00:00,69.18,70.18,68.085,70.18,11948000,52.1047973138,52.8579744938,51.2800683017,52.8579744938,11948000,0.0,1.0
CAT,2010-07-28 00:00:00+00:00,69.72,69.85,68.7,68.7,7609900,52.511512991,52.6094260244,51.7432722674,51.7432722674,7609900,0.0,1.0
CAT,2010-07-29 00:00:00+00:00,69.4,70.29,68.21,69.84,7671300,52.2704962934,52.9408239836,51.3742154492,52.6018942526,7671300,0.0,1.0
CAT,2010-07-30 00:00:00+00:00,69.75,70.25,68.39,68.39,7218100,52.5341083064,52.9106968964,51.5097873416,51.5097873416,7218100,0.0,1.0
CAT,2010-08-02 00:00:00+00:00,71.05,71.7,70.07,70.74,6304100,53.5132386405,54.0028038075,52.775125004,53.2797537147,6304100,0.0,1.0
CAT,2010-08-03 00:00:00+00:00,70.37,71.0299,69.88,70.57,5878900,53.001078158,53.4980997791,52.6320213398,53.151713594,5878900,0.0,1.0
CAT,2010-08-04 00:00:00+00:00,71.12,71.47,70.28,70.28,6204800,53.5659610431,53.8295730561,52.9332922118,52.9332922118,6204800,0.0,1.0
CAT,2010-08-05 00:00:00+00:00,71.96,72.25,70.81,70.82,7415000,54.1986298743,54.4170512565,53.3324761173,53.3400078891,7415000,0.0,1.0
CAT,2010-08-06 00:00:00+00:00,71.56,71.93,70.3,71.01,5463400,53.8973590023,54.1760345589,52.9483557554,53.4831115533,5463400,0.0,1.0
CAT,2010-08-09 00:00:00+00:00,72.07,72.18,71.42,72.06,3625400,54.2814793641,54.3643288539,53.7919141971,54.2739475923,3625400,0.0,1.0
CAT,2010-08-10 00:00:00+00:00,71.42,71.99,70.58,70.88,6082400,53.7919141971,54.2212251897,53.1592453658,53.3851985199,6082400,0.0,1.0
CAT,2010-08-11 00:00:00+00:00,68.71,70.16,68.35,70.01,9221200,51.7508040392,52.8429109502,51.4796602544,52.7299343732,9221200,0.0,1.0
CAT,2010-08-12 00:00:00+00:00,67.5,68.0,66.78,67.5,7639900,50.8394596514,51.2160482414,50.2971720818,50.8394596514,7639900,0.0,1.0
CAT,2010-08-13 00:00:00+00:00,68.01,68.455,67.21,67.74,6659300,51.2235800132,51.5587438583,50.6210382692,51.0202221746,6659300,0.0,1.0
CAT,2010-08-16 00:00:00+00:00,68.49,68.98,67.0608,67.62,5432500,51.5851050596,51.9541618778,50.5086642339,50.929840913,5432500,0.0,1.0
CAT,2010-08-17 00:00:00+00:00,69.74,70.76,69.3,69.44,5946900,52.5265765346,53.2948172583,52.1951785754,52.3006233806,5946900,0.0,1.0
CAT,2010-08-18 00:00:00+00:00,69.75,70.44,69.06,69.82,4988000,52.5341083064,53.0538005606,52.0144160522,52.586830709,4988000,0.0,1.0
CAT,2010-08-19 00:00:00+00:00,69.29,70.5,68.42,69.87,9625400,52.1876468036,53.0989911914,51.532382657,52.624489568,9625400,0.0,1.0
CAT,2010-08-20 00:00:00+00:00,68.86,69.54,67.46,69.4,8022000,51.8637806162,52.3759410986,50.8093325642,52.2704962934,8022000,0.0,1.0
CAT,2010-08-23 00:00:00+00:00,66.84,69.75,66.72,68.7,8878600,50.3423627126,52.5341083064,50.251981451,51.7432722674,8878600,0.0,1.0
CAT,2010-08-24 00:00:00+00:00,65.04,65.84,64.31,65.59,9669800,48.9866437885,49.5891855326,48.4368244471,49.4008912375,9669800,0.0,1.0
CAT,2010-08-25 00:00:00+00:00,64.7,64.98,63.335,64.29,8679500,48.7305635473,48.9414531577,47.7024766966,48.4217609035,8679500,0.0,1.0
CAT,2010-08-26 00:00:00+00:00,63.95,65.82,63.772,64.83,7075100,48.1656806623,49.574121989,48.0316151243,48.8284765807,7075100,0.0,1.0
CAT,2010-08-27 00:00:00+00:00,65.9,66.15,63.36,64.76,7486300,49.6343761634,49.8226704584,47.7213061261,48.7757541781,7486300,0.0,1.0
CAT,2010-08-30 00:00:00+00:00,64.47,66.16,64.46,66.14,5133900,48.5573327959,49.8302022302,48.5498010241,49.8151386866,5133900,0.0,1.0
CAT,2010-08-31 00:00:00+00:00,65.16,65.85,63.92,64.14,6760700,49.0770250501,49.5967173044,48.1430853469,48.3087843265,6760700,0.0,1.0
CAT,2010-09-01 00:00:00+00:00,68.16,68.54,66.35,67.05,9071200,51.3365565902,51.6227639186,49.9733058944,50.5005299204,9071200,0.0,1.0
CAT,2010-09-02 00:00:00+00:00,68.54,68.785,67.75,68.35,5293400,51.6227639186,51.8072923277,51.0277539464,51.4796602544,5293400,0.0,1.0
CAT,2010-09-03 00:00:00+00:00,70.08,70.59,69.54,69.95,7837700,52.7826567758,53.1667771377,52.3759410986,52.6847437424,7837700,0.0,1.0
CAT,2010-09-07 00:00:00+00:00,69.7,70.05,68.8,69.78,6841700,52.4964494474,52.7600614604,51.8185899854,52.5567036218,6841700,0.0,1.0
