symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CVX,2010-02-12 00:00:00+00:00,71.01,71.3,70.17,70.535,13809100,46.7564659102,46.9474161301,46.2033687216,46.443702619,13809100,0.68,1.0
CVX,2010-02-16 00:00:00+00:00,72.99,73.32,71.93,71.99,14230800,48.0601949977,48.2774831789,47.3622390216,47.4017459636,14230800,0.0,1.0
CVX,2010-02-17 00:00:00+00:00,72.84,73.43,72.46,73.22,8728000,47.9614276426,48.3499125727,47.7112170096,48.2116382755,8728000,0.0,1.0
CVX,2010-02-18 00:00:00+00:00,73.62,73.72,72.34,72.69,9848000,48.4750178892,48.5408627926,47.6322031255,47.8626602875,9848000,0.0,1.0
CVX,2010-02-19 00:00:00+00:00,74.05,74.38,73.21,73.44,13113200,48.7581509738,48.9754391551,48.2050537852,48.356497063,13113200,0.0,1.0
CVX,2010-02-22 00:00:00+00:00,72.96,74.22,72.79,74.17,8683400,48.0404415267,48.8700873096,47.9285051909,48.8371648579,8683400,0.0,1.0
CVX,2010-02-23 00:00:00+00:00,72.04,72.93,71.77,72.6,11907600,47.4346684153,48.0206880556,47.2568871761,47.8033998744,11907600,0.0,1.0
CVX,2010-02-24 00:00:00+00:00,72.34,72.45,71.61,72.12,8921000,47.6322031255,47.7046325193,47.1515353307,47.487344338,8921000,0.0,1.0
CVX,2010-02-25 00:00:00+00:00,72.11,72.19,70.78,71.19,11761100,47.4807598477,47.5334357704,46.6050226324,46.8749867363,11761100,0.0,1.0
CVX,2010-02-26 00:00:00+00:00,72.3,72.69,71.82,72.19,8978800,47.6058651642,47.8626602875,47.2898096278,47.5334357704,8978800,0.0,1.0
CVX,2010-03-01 00:00:00+00:00,72.81,73.18,72.39,72.63,7428100,47.9416741716,48.1853003142,47.6651255772,47.8231533454,7428100,0.0,1.0
CVX,2010-03-02 00:00:00+00:00,73.32,73.91,73.01,73.18,9257200,48.2774831789,48.665968109,48.0733639784,48.1853003142,9257200,0.0,1.0
CVX,2010-03-03 00:00:00+00:00,73.13,73.85,73.06,73.63,8194200,48.1523778625,48.626461167,48.1062864301,48.4816023795,8194200,0.0,1.0
CVX,2010-03-04 00:00:00+00:00,73.08,73.5,72.71,73.13,9419900,48.1194554108,48.3960040051,47.8758292681,48.1523778625,9419900,0.0,1.0
CVX,2010-03-05 00:00:00+00:00,74.3,74.47,73.51,73.55,8750200,48.9227632323,49.0346995681,48.4025884954,48.4289264568,8750200,0.0,1.0
CVX,2010-03-08 00:00:00+00:00,74.64,74.88,74.15,74.49,6474000,49.1466359039,49.3046636721,48.8239958772,49.0478685488,6474000,0.0,1.0
CVX,2010-03-09 00:00:00+00:00,74.3,74.91,74.0,74.3,8480100,48.9227632323,49.3244171431,48.7252285221,48.9227632323,8480100,0.0,1.0
CVX,2010-03-10 00:00:00+00:00,73.96,74.33,73.25,74.14,14652900,48.6988905608,48.9425167034,48.2313917466,48.8174113869,14652900,0.0,1.0
CVX,2010-03-11 00:00:00+00:00,73.99,74.09,73.55,74.07,7024700,48.7186440318,48.7844889352,48.4289264568,48.7713199545,7024700,0.0,1.0
CVX,2010-03-12 00:00:00+00:00,73.72,74.24,73.51,74.17,7681900,48.5408627926,48.8832562903,48.4025884954,48.8371648579,7681900,0.0,1.0
CVX,2010-03-15 00:00:00+00:00,73.57,73.63,72.85,73.51,8807600,48.4420954375,48.4816023795,47.9680121329,48.4025884954,8807600,0.0,1.0
CVX,2010-03-16 00:00:00+00:00,73.98,74.12,73.41,73.9,9828300,48.7120595414,48.8042424062,48.336743592,48.6593836187,9828300,0.0,1.0
CVX,2010-03-17 00:00:00+00:00,74.67,75.06,74.16,74.18,10292000,49.1663893749,49.4231844982,48.8305803676,48.8437493482,10292000,0.0,1.0
CVX,2010-03-18 00:00:00+00:00,74.76,75.07,74.24,74.85,9916100,49.225649788,49.4297689886,48.8832562903,49.2849102011,9916100,0.0,1.0
CVX,2010-03-19 00:00:00+00:00,74.98,75.16,73.89,75.03,16610700,49.3705085755,49.4890294016,48.6527991284,49.4034310272,16610700,0.0,1.0
CVX,2010-03-22 00:00:00+00:00,74.46,74.88,74.0,74.17,9317900,49.0281150778,49.3046636721,48.7252285221,48.8371648579,9317900,0.0,1.0
CVX,2010-03-23 00:00:00+00:00,74.77,74.79,74.03,74.43,8006700,49.2322342784,49.245403259,48.7449819931,49.0083616068,8006700,0.0,1.0
CVX,2010-03-24 00:00:00+00:00,73.93,74.5,73.78,74.27,8997600,48.6791370897,49.0544530392,48.5803697346,48.9030097613,8997600,0.0,1.0
CVX,2010-03-25 00:00:00+00:00,73.8,74.6223,73.69,74.4,10510300,48.5935387153,49.134981356,48.5211093215,48.9886081357,10510300,0.0,1.0
CVX,2010-03-26 00:00:00+00:00,74.43,74.88,73.82,74.0,10411500,49.0083616068,49.3046636721,48.606707696,48.7252285221,10411500,0.0,1.0
CVX,2010-03-29 00:00:00+00:00,75.23,75.44,74.49,74.61,8818000,49.535120834,49.6733951312,49.0478685488,49.1268824329,8818000,0.0,1.0
CVX,2010-03-30 00:00:00+00:00,75.3,75.5,74.96,75.27,6378100,49.5812122664,49.7129020732,49.3573395948,49.5614587954,6378100,0.0,1.0
CVX,2010-03-31 00:00:00+00:00,75.83,76.14,75.08,75.47,9875500,49.9301902545,50.1343094551,49.4363534789,49.6931486022,9875500,0.0,1.0
CVX,2010-04-01 00:00:00+00:00,76.69,77.13,76.34,76.4,7859300,50.4964564238,50.7861739988,50.2659992619,50.3055062039,7859300,0.0,1.0
CVX,2010-04-05 00:00:00+00:00,77.66,77.75,76.73,76.97,8108600,51.1351519869,51.1944123999,50.5227943852,50.6808221533,8108600,0.0,1.0
CVX,2010-04-06 00:00:00+00:00,77.88,78.0,77.2,77.57,6490000,51.2800107744,51.3590246584,50.8322654312,51.0758915738,6490000,0.0,1.0
CVX,2010-04-07 00:00:00+00:00,77.37,77.83,76.96,77.67,9431400,50.944201767,51.2470883226,50.674237663,51.1417364772,9431400,0.0,1.0
CVX,2010-04-08 00:00:00+00:00,77.66,78.0,76.63,76.93,6880500,51.1351519869,51.3590246584,50.4569494818,50.654484192,6880500,0.0,1.0
CVX,2010-04-09 00:00:00+00:00,79.5,79.62,78.0,78.04,9804100,52.3466982096,52.4257120937,51.3590246584,51.3853626198,9804100,0.0,1.0
CVX,2010-04-12 00:00:00+00:00,80.43,80.8,79.37,79.5,10000000,52.9590558113,53.2026819539,52.2610998351,52.3466982096,10000000,0.0,1.0
CVX,2010-04-13 00:00:00+00:00,80.21,80.57,79.27,80.42,7978500,52.8141970238,53.051238676,52.1952549317,52.9524713209,7978500,0.0,1.0
CVX,2010-04-14 00:00:00+00:00,80.58,80.61,80.03,80.46,7290400,53.0578231664,53.0775766374,52.6956761976,52.9788092823,7290400,0.0,1.0
CVX,2010-04-15 00:00:00+00:00,81.59,81.76,80.51,80.61,9702500,53.7228566908,53.8347930266,53.011731734,53.0775766374,9702500,0.0,1.0
CVX,2010-04-16 00:00:00+00:00,80.75,81.9,80.28,81.46,12861900,53.1697595022,53.9269758914,52.8602884562,53.6372583164,12861900,0.0,1.0
CVX,2010-04-19 00:00:00+00:00,81.32,81.5,80.05,80.25,9335900,53.5450754516,53.6635962777,52.7088451783,52.8405349851,9335900,0.0,1.0
CVX,2010-04-20 00:00:00+00:00,82.05,82.36,81.66,81.82,11470000,54.0257432465,54.229862447,53.7689481232,53.8742999686,11470000,0.0,1.0
CVX,2010-04-21 00:00:00+00:00,81.92,82.67,81.24,82.3,9416400,53.940144872,54.4339816476,53.4923995289,54.190355505,9416400,0.0,1.0
CVX,2010-04-22 00:00:00+00:00,81.2,81.45,80.64,81.11,9421100,53.4660615675,53.630673826,53.0973301084,53.4068011544,9421100,0.0,1.0
CVX,2010-04-23 00:00:00+00:00,82.67,82.77,80.95,81.04,9918100,54.4339816476,54.499826551,53.301449309,53.3607097221,9918100,0.0,1.0
CVX,2010-04-26 00:00:00+00:00,82.59,83.14,82.34,82.52,9792600,54.3813057249,54.7434526936,54.2166934664,54.3352142925,9792600,0.0,1.0
CVX,2010-04-27 00:00:00+00:00,80.23,82.51,80.07,82.08,13042800,52.8273660044,54.3286298022,52.722014159,54.0454967175,13042800,0.0,1.0
CVX,2010-04-28 00:00:00+00:00,80.62,80.92,79.85,80.62,12115700,53.0841611277,53.281695838,52.5771553715,53.0841611277,12115700,0.0,1.0
CVX,2010-04-29 00:00:00+00:00,82.29,82.99,81.19,81.19,12274500,54.1837710147,54.6446853385,53.4594770772,53.4594770772,12274500,0.0,1.0
CVX,2010-04-30 00:00:00+00:00,81.44,83.13,81.29,82.37,13910300,53.6240893357,54.7368682033,53.5253219806,54.2364469374,13910300,0.0,1.0
CVX,2010-05-03 00:00:00+00:00,82.83,83.41,81.33,81.96,11650700,54.5393334931,54.9212339328,53.5516599419,53.9664828334,11650700,0.0,1.0
CVX,2010-05-04 00:00:00+00:00,80.76,82.24,79.63,82.01,16274300,53.1763439925,54.150848563,52.432296584,53.9994052851,16274300,0.0,1.0
CVX,2010-05-05 00:00:00+00:00,80.19,80.73,79.45,79.69,13028600,52.8010280431,53.1565905215,52.3137757579,52.471803526,13028600,0.0,1.0
